country,target domain,CLS,LCP,FID,OSI,category
US,https://www.economycarrentals.com/de-DE?c=DE,0.00001,793.81000,195.00000,1009.00320,rent a car
US,https://rentalcover.com/en/,0.01690,772.15300,399.00000,1514.03133,rent a car
US,https://www.enterprise.com/en/home.html,0.01880,1651.66160,287.00000,3664.04492,rent a car
US,https://www.airporttaxis-uk.co.uk/,0.00665,2057.83605,85.00000,1189.28131,rent a car
US,https://cars.easyjet.com/,0.00534,1327.49510,222.00000,1294.71665,rent a car
US,https://avisworld.com/,0.00000,1208.77500,102.00000,987.30163,rent a car
US,https://www.carflexi.com/de-DE?c=DE,0.00006,775.25500,119.00000,735.91781,rent a car
US,https://www.vwfsrentacar.co.uk/,0.00129,1249.73650,309.00000,1467.97861,rent a car
US,https://www.stressfreecarrental.com/,0.00018,1480.43450,53.00000,1188.01190,rent a car
US,https://www.hertz247.co.uk/UK/Home,0.36060,3523.75900,320.00000,3281.76674,rent a car
US,https://www.orbitcarhire.com/,0.01140,3469.43950,352.00000,1499.07084,rent a car
US,https://www.vipcars.com/,0.00000,1318.49500,54.00000,994.06145,rent a car
US,https://www.co-wheels.org.uk/,0.01038,2597.26160,153.00000,1614.62545,rent a car
US,https://www.discovercars.com/,0.02205,3029.83730,195.00000,2779.17297,rent a car
US,https://corporate.cartrawler.com/en-gb/,0.04610,3278.58484,199.00000,4224.68178,rent a car
US,https://autoreisen.com/car-hire/car-hire.php,0.26972,1595.08310,173.00000,995.24733,rent a car
US,https://www.holidayautos.com/,0.22387,2221.48700,212.00000,1720.70929,rent a car
US,https://www.moneymaxim.co.uk/,0.00593,1124.13100,153.00000,2666.01651,rent a car
US,https://nationwidehireuk.co.uk/,0.02487,1840.94910,283.00000,1468.78698,rent a car
US,https://www.hertz.com/rentacar/reservation/,0.08588,4673.77110,783.00000,4982.25439,rent a car
US,https://www.icarhireinsurance.com/,0.05057,1358.73230,36.00000,1564.07097,rent a car
US,https://www.arnoldclarkrental.com/,0.01389,1242.74050,36.00000,1375.33988,rent a car
US,https://www.enjoytravel.com/us,0.00406,1189.11000,67.00000,1150.26639,rent a car
US,https://www.driiveme.co.uk/,0.00136,1452.24700,96.00000,1488.21574,rent a car
US,https://www.europcar.co.uk/en-gb,0.02973,3198.63950,499.00000,2472.53365,rent a car
US,https://www.cicar.com/,0.14111,3028.20770,93.00000,1616.84120,rent a car
US,https://www.goldcar.com/es-es/,0.13511,1523.76100,34.00000,1710.66399,rent a car
US,https://okmobility.com/en/,0.09091,574.33300,148.00000,3908.68944,rent a car
US,https://questor-insurance.co.uk/,0.00000,843.02350,129.00000,840.00776,rent a car
US,https://www.enterprisecarclub.co.uk/gb/en/home.html,0.05924,2522.24580,145.00000,2309.40441,rent a car
US,https://www.holidaycars.com/,0.00075,1085.95000,143.00000,1435.57808,rent a car
US,https://www.thrifty.co.uk/,0.13071,2201.06500,86.00000,1213.92329,rent a car
US,https://www.doyouspain.com/index.htm,0.17952,1255.53460,121.00000,1214.24827,rent a car
US,https://indiecampers.com/,0.00204,953.36300,124.00000,1187.36645,rent a car
US,https://www.fusemetrix.com/,0.00027,3997.09250,85.00000,1296.85647,rent a car
US,https://www.sennheiser-hearing.com/en-DE/,0.00865,5453.59400,293.00000,2061.11893,rent a car
US,https://www.qeeq.com/,0.00307,2786.93750,444.00000,3980.50646,rent a car
US,https://www.suntransfers.com/,0.01171,2082.89500,285.00000,1348.98213,rent a car
US,https://www.sixt.com/,0.00000,1123.88100,158.00000,1838.01106,rent a car
US,https://greenmotion.com/,0.27949,1901.48200,74.00000,1964.52235,rent a car
US,https://www.airporttaxis-uk.co.uk/,0.00723,1925.46625,93.00000,1321.67975,rent a car
US,https://www.alamo.com/en/home.html,0.00823,1575.61100,77.00000,1948.82672,rent a car
US,https://turo.com/,0.00033,1026.96680,98.00000,1078.46112,rent a car
US,https://www.avis.co.uk/,0.00463,1862.08650,194.00000,1811.78016,rent a car
US,https://rentalcar.com/,0.39966,3274.44800,195.00000,2514.39613,rent a car
US,https://www.easycar.com/,0.00173,1908.39000,376.00000,2013.72309,rent a car
US,https://www.recordrentacar.com/en/,0.22263,1726.13170,210.00000,1939.02771,rent a car
US,https://www.budget.co.uk/,0.02578,2409.56855,200.00000,2734.04443,rent a car
US,https://www.transfeero.com/en/,0.00140,2205.16550,102.00000,2379.85393,rent a car
US,https://starrluxurycars.com/,0.00094,4133.32950,72.00000,1907.32971,rent a car
US,https://www.carrental8.com/en-us,0.08501,4258.80210,419.00000,3993.35136,rent a car
US,https://www.sixt.co.uk/,0.00993,1711.72750,304.00000,3277.04583,rent a car
US,https://www.practical.co.uk/,0.52358,3384.70200,45.00000,1679.18152,rent a car
US,https://liftshare.com/uk,0.03495,3116.97120,181.00000,1388.20073,rent a car
US,https://www.budgetcampervans.com/,0.00146,2020.51880,39.00000,1966.51212,rent a car
US,https://www.zestcarrental.com/,0.17297,1410.94780,133.00000,931.76750,rent a car
US,https://www.europcar.com/en-us,0.01111,3165.28400,401.00000,2431.26589,rent a car
US,https://www.hiyacar.co.uk/,0.84327,2611.45750,130.00000,1640.83771,rent a car
US,https://blablacar.com/,0.00003,614.29350,68.00000,614.29350,rent a car
US,https://www.goboony.co.uk/,0.01447,1425.42700,154.00000,1595.90364,rent a car
US,https://northgatevehiclehire.co.uk/,0.08993,1921.41850,241.00000,3299.37627,rent a car
US,https://www.kendallcars.com/,0.15882,5795.09305,106.00000,2850.71575,rent a car
US,https://www.reducemyexcess.co.uk/,0.03286,1325.82650,191.00000,1209.69273,rent a car
US,https://www.avis.com/en/home,0.22668,3256.72325,396.00000,3912.18681,rent a car
US,https://www.gotrentalcars.com/,0.00099,1612.41790,125.00000,1473.28060,rent a car
US,https://www.carhireexcess.co.uk/,0.00473,2100.77990,16.00000,1780.65200,rent a car
US,https://www.arguscarhire.com/,0.35998,945.24650,217.00000,1703.58799,rent a car
US,https://top-car-hire.com/,0.00472,2693.94050,58.00000,2784.45170,rent a car
US,https://www.lrparts.net/,0.05021,965.52817,97.00000,2235.71555,rent a car
US,https://bipicar.com/de/de,0.00886,1647.26850,126.00000,1094.12553,rent a car
US,https://drivalia.co.uk/,0.00027,4739.45800,200.00000,2477.23819,rent a car
US,https://www.hertz247.co.uk/UK/Home,0.36169,3057.49900,240.00000,2380.48813,rent a car
US,https://www.centauro.net/,0.00166,1886.22930,1046.00000,5440.56841,rent a car
US,https://www.economybookings.com/,0.00362,2224.34500,657.00000,2264.08760,rent a car
US,https://login.microsoftonline.com/96eb113a-138d-4d7e-988c-a0f8c8685f5d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=58E80A4E0FD3C9914CE524E2A3E506BF7C4D1826B38FDE8D%2D7791D770C4D527AB07EA9AFF3D62471543CD60CC7F8D4C320C9E8B364E91C9EC&redirect%5Furi=https%3A%2F%2Fwebgainsltd%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=52727ca1%2D707c%2Db000%2D9a27%2D027bfc587597&sso_reload=true,0.01814,1225.49050,34.00000,1075.18346,rent a car
US,https://holidaystravel.info/,0.00140,1380.35810,19.00000,1084.13330,rent a car
US,https://login.microsoftonline.com/dbd7887d-30fb-4706-8f4b-3cee2404e731/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=89B2AFEC6434D754610592125266D48561B53D6DB14EDE62%2DD6D727F762D93203F273ED0CE54A4DCB91E2FD54179D9664EC32AD08AE44F2AD&redirect%5Furi=https%3A%2F%2Fprmediaco%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=53727ca1%2D201c%2Db000%2D8ecd%2D97ce6b23d4d6&sso_reload=true,0.02195,2082.31750,143.00000,1598.25886,rent a car
US,https://login.microsoftonline.com/5644ed12-fa20-4533-9bbd-eb72eb418521/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=B32D491151A0F1BA0E7AACD98104D90C62506B0BAD4ECC3B%2D904FB850BEBB60310CCFA931030A55C12B9E495362482D9B8F871318F71B0A44&redirect%5Furi=https%3A%2F%2Fbuiltvisible%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=52727ca1%2Da0b9%2Db000%2D7295%2D111bb5dd55b1&sso_reload=true,0.01814,1326.15700,31.00000,1123.20126,rent a car
