country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,economybookings.com,2025,1,60,2074,car rentals
UK,prmediaco.sharepoint.com,2024,1,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,2,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,3,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,4,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,5,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,6,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,7,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,8,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,9,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,10,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,11,0,0,car rentals
UK,prmediaco.sharepoint.com,2024,12,0,0,car rentals
UK,prmediaco.sharepoint.com,2025,1,0,0,car rentals
UK,budget.co.uk,2024,1,25,1551,car rentals
UK,budget.co.uk,2024,2,11,1370,car rentals
UK,budget.co.uk,2024,3,21,1361,car rentals
UK,budget.co.uk,2024,4,14,1342,car rentals
UK,budget.co.uk,2024,5,14,1309,car rentals
UK,budget.co.uk,2024,6,32,1257,car rentals
UK,budget.co.uk,2024,7,25,1245,car rentals
UK,budget.co.uk,2024,8,20,1221,car rentals
UK,budget.co.uk,2024,9,13,1211,car rentals
UK,budget.co.uk,2024,10,25,1072,car rentals
UK,budget.co.uk,2024,11,39,1075,car rentals
UK,budget.co.uk,2024,12,30,1079,car rentals
UK,budget.co.uk,2025,1,23,1078,car rentals
UK,arnoldclarkrental.com,2024,1,11,818,car rentals
UK,arnoldclarkrental.com,2024,2,18,680,car rentals
UK,arnoldclarkrental.com,2024,3,16,667,car rentals
UK,arnoldclarkrental.com,2024,4,16,659,car rentals
UK,arnoldclarkrental.com,2024,5,23,651,car rentals
UK,arnoldclarkrental.com,2024,6,24,658,car rentals
UK,arnoldclarkrental.com,2024,7,19,660,car rentals
UK,arnoldclarkrental.com,2024,8,8,643,car rentals
UK,arnoldclarkrental.com,2024,9,15,637,car rentals
UK,arnoldclarkrental.com,2024,10,24,639,car rentals
UK,arnoldclarkrental.com,2024,11,26,636,car rentals
UK,arnoldclarkrental.com,2024,12,32,646,car rentals
UK,arnoldclarkrental.com,2025,1,29,651,car rentals
UK,avis.com,2024,1,485,22599,car rentals
UK,avis.com,2024,2,550,22135,car rentals
UK,avis.com,2024,3,589,22319,car rentals
